State,Year,Crop,N,P,K,pH,Temperature,Humidity,Rainfall
Meghalaya,1997,Maize,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Mesta,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Mesta,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Other  Rabi pulses,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Potato,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Rapeseed &Mustard,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Rice,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Sesamum,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Small millets,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Soyabean,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Sugarcane,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Sweet potato,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Tapioca,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Tobacco,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Turmeric,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Wheat,52,16,33,5.6,17.16,77.31,1954.46
West Bengal,1997,Arecanut,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Arhar/Tur,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Bajra,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Barley,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Cardamom,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Castor seed,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Coconut ,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Cotton(lint),85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Dry chillies,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Gram,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Groundnut,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Horse-gram,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Jowar,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Jute,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Khesari,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Linseed,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Maize,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Masoor,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Mesta,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Moong(Green Gram),85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Moong(Green Gram),85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Moong(Green Gram),85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Niger seed,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Niger seed,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Other Kharif pulses,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Potato,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Ragi,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Rapeseed &Mustard,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Rice,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Rice,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Rice,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Safflower,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Sannhamp,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Sesamum,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Small millets,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Soyabean,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Sugarcane,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Sunflower,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Turmeric,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Urad,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Urad,85,40,45,6.2,25.85,72.28,1564.19
West Bengal,1997,Wheat,85,40,45,6.2,25.85,72.28,1564.19
Puducherry,1998,Arecanut,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Bajra,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Black pepper,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Coriander,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Cotton(lint),88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Dry chillies,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Groundnut,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Onion,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Ragi,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Rice,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Rice,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Rice,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Sesamum,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Small millets,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Sugarcane,88,55,40,7.0,28.33,75.47,1124.51
Puducherry,1998,Tapioca,88,55,40,7.0,28.33,75.47,1124.51
Assam,1998,Arecanut,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Arhar/Tur,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Banana,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Castor seed,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Coconut ,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Cotton(lint),60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Dry chillies,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Gram,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Jute,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Linseed,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Maize,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Mesta,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Niger seed,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Onion,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Other  Rabi pulses,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Potato,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Rapeseed &Mustard,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Rice,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Rice,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Rice,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Sesamum,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Small millets,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Sugarcane,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Sweet potato,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Tapioca,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Tobacco,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Turmeric,60,18,38,5.8,22.98,73.03,1701.15
Assam,1998,Wheat,60,18,38,5.8,22.98,73.03,1701.15
Goa,1998,Arecanut,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Banana,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Black pepper,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Cashewnut,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Coconut ,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Groundnut,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Groundnut,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Other  Rabi pulses,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Other Kharif pulses,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Ragi,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Rice,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Rice,65,25,45,6.2,27.35,74.64,2059.15
Goa,1998,Sugarcane,65,25,45,6.2,27.35,74.64,2059.15
Karnataka,1998,Arecanut,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Arhar/Tur,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Bajra,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Bajra,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Bajra,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Black pepper,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Cardamom,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Castor seed,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Coconut ,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Coriander,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Cotton(lint),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Dry chillies,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Garlic,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Ginger,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Gram,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Groundnut,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Groundnut,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Horse-gram,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Horse-gram,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Jowar,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Jowar,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Jowar,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Linseed,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Maize,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Maize,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Maize,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Moong(Green Gram),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Moong(Green Gram),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Niger seed,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Onion,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Onion,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Onion,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Peas & beans (Pulses),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Peas & beans (Pulses),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Peas & beans (Pulses),72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Potato,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Potato,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Potato,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Potato,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Ragi,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Ragi,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Ragi,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Rapeseed &Mustard,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Rice,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Rice,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Rice,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Safflower,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Sesamum,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Soyabean,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Sunflower,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Sunflower,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Sunflower,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Turmeric,72,42,25,6.9,23.73,71.65,1185.08
Karnataka,1998,Wheat,72,42,25,6.9,23.73,71.65,1185.08
Kerala,1998,Arecanut,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Banana,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Black pepper,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Cardamom,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Cashewnut,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Coconut ,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Cotton(lint),65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Dry chillies,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Garlic,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Ginger,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Groundnut,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Jowar,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Ragi,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Rice,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Rice,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Rice,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Sesamum,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Sugarcane,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Sweet potato,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Tapioca,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Tobacco,65,28,50,5.7,27.03,80.95,2177.34
Kerala,1998,Turmeric,65,28,50,5.7,27.03,80.95,2177.34
Meghalaya,1998,Arecanut,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Arhar/Tur,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Banana,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Cotton(lint),52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Dry chillies,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Ginger,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Gram,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Jute,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Linseed,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Maize,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Mesta,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Mesta,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Other  Rabi pulses,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Potato,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Rapeseed &Mustard,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Rice,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Sesamum,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Small millets,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Soyabean,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Sugarcane,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Sweet potato,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Tapioca,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Tobacco,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Turmeric,52,16,33,5.6,17.84,79.73,2370.96
Meghalaya,1998,Wheat,52,16,33,5.6,17.84,79.73,2370.96
West Bengal,1998,Arecanut,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Arhar/Tur,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Bajra,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Barley,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Cardamom,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Castor seed,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Coconut ,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Cotton(lint),85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Dry chillies,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Ginger,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Gram,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Groundnut,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Horse-gram,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Jowar,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Jute,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Khesari,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Linseed,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Maize,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Masoor,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Mesta,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Moong(Green Gram),85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Moong(Green Gram),85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Moong(Green Gram),85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Niger seed,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Other Kharif pulses,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Peas & beans (Pulses),85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Potato,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Ragi,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Rapeseed &Mustard,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Rice,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Rice,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Rice,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Safflower,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Sannhamp,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Sesamum,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Small millets,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Small millets,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Soyabean,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Sugarcane,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Sunflower,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Turmeric,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Urad,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Urad,85,40,45,6.2,25.82,75.28,1537.71
West Bengal,1998,Wheat,85,40,45,6.2,25.82,75.28,1537.71
Assam,1999,Arecanut,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Arhar/Tur,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Banana,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Castor seed,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Coconut ,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Cotton(lint),60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Dry chillies,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Gram,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Jute,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Linseed,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Maize,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Mesta,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Niger seed,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Onion,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Other  Rabi pulses,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Potato,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Rapeseed &Mustard,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Rice,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Rice,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Rice,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Sesamum,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Small millets,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Sugarcane,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Sweet potato,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Tapioca,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Tobacco,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Turmeric,60,18,38,5.8,23.26,71.99,1622.42
Assam,1999,Wheat,60,18,38,5.8,23.26,71.99,1622.42
Goa,1999,Arecanut,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Banana,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Black pepper,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Cashewnut,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Coconut ,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Groundnut,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Groundnut,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Other  Rabi pulses,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Other Kharif pulses,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Ragi,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Rice,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Rice,65,25,45,6.2,27.09,73.77,1980.88
Goa,1999,Sugarcane,65,25,45,6.2,27.09,73.77,1980.88
